
2025/03/25 (21:56:07) | ===> btop++ v.1.4.0
2025/03/25 (21:56:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (05:52:38) | ===> btop++ v.1.4.0
2025/04/01 (05:52:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (05:54:11) | ===> btop++ v.1.4.0
2025/04/01 (05:54:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (05:57:56) | ===> btop++ v.1.4.0
2025/04/01 (05:57:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (08:41:03) | ===> btop++ v.1.4.0
2025/04/01 (08:41:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (12:41:19) | ===> btop++ v.1.4.0
2025/04/01 (12:41:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:41:05) | ===> btop++ v.1.4.0
2025/04/02 (00:41:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (13:43:49) | ===> btop++ v.1.4.0
2025/04/02 (13:43:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:07:52) | ===> btop++ v.1.4.0
2025/04/02 (18:07:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (19:51:06) | ===> btop++ v.1.4.0
2025/04/02 (19:51:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (22:44:13) | ===> btop++ v.1.4.0
2025/04/02 (22:44:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (01:02:15) | ===> btop++ v.1.4.0
2025/04/03 (01:02:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (10:57:13) | ===> btop++ v.1.4.0
2025/04/03 (10:57:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (19:07:53) | ===> btop++ v.1.4.0
2025/04/03 (19:07:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (01:19:18) | ===> btop++ v.1.4.0
2025/04/05 (01:19:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (13:55:20) | ===> btop++ v.1.4.0
2025/04/05 (13:55:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (20:24:35) | ===> btop++ v.1.4.0
2025/04/05 (20:24:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (23:37:19) | ===> btop++ v.1.4.0
2025/04/06 (23:37:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (16:23:16) | ===> btop++ v.1.4.0
